order_id,product_id,product_name,category,price,quantity,discount_percent,region,status,customer_name,order_date
100001,1001,Laptop,Electronics,74180.89,4.0,20,North,Returned,Customer_17,31-01-2025
100002,NULL,Monitor,Electronics,23342.82,10.0,20,West,Pending,Customer_230,12-10-2025
100003,1003,Keyboard,Electronics,69844.13,6.0,10,North,Completed,Customer_195,10-04-2025
100004,1004,Jacket,Clothing,60412.23,1.0,15,North,Cancelled,Customer_425,06-01-2026
100005,1005,Football,Sports,70486.73,1.0,0,South,Completed,Customer_195,12-10-2025
100006,NULL,Sugar,Groceries,16349.14,6.0,0,South,Pending,Customer_84,19-04-2026
100007,1007,Eggs,Groceries,98953.38,9.0,0,South,Completed,Customer_413,20-11-2025
100008,1008,Eggs,Groceries,6712.24,10.0,15,West,Returned,Customer_74,29-09-2025
100009,NULL,Sofa,Furniture,74524.4,9.0,20,West,Cancelled,Customer_113,22-05-2025
100010,1010,Badminton Racket,Sports,9181.85,1.0,5,West,Completed,Customer_198,26-01-2026
100011,1011,Badminton Racket,Sports,52958.52,,0,East,Cancelled,Customer_58,28-10-2025
100012,1012,Milk,Groceries,45427.0,5.0,20,North,Cancelled,Customer_431,04-06-2026
100013,1013,Football,Sports,15368.64,3.0,20,North,Cancelled,Customer_251,20-01-2025
100014,1014,Tablet,Electronics,87884.32,5.0,20,North,Completed,Customer_375,13-05-2026
100015,1015,Speaker,Electronics,76606.86,3.0,5,East,Returned,Customer_494,05-08-2025
100016,1016,Gloves,Sports,69017.78,5.0,10,West,Returned,Customer_62,11-09-2025
100017,1017,Table,Furniture,33874.75,10.0,0,North,Completed,Customer_118,11-03-2025
100018,1018,Tablet,Electronics,7178.65,4.0,20,South,Returned,Customer_125,30-04-2026
100019,1019,Bread,Groceries,9523.15,7.0,0,North,Completed,Customer_207,14-12-2025
100020,1020,Monitor,Electronics,19239.85,9.0,10,West,Pending,Customer_448,19-03-2025
100021,1021,Oil,Groceries,5153.77,9.0,5,South,Returned,Customer_249,08-05-2026
100022,1022,Shelf,Furniture,90254.04,3.0,10,West,Cancelled,Customer_217,14-05-2026
100023,1023,Sofa,Furniture,29741.11,1.0,10,North,Completed,Customer_300,04-05-2026
100024,1024,Helmet,Sports,15827.53,9.0,20,North,Pending,Customer_207,03-05-2025
100025,1025,Football,Sports,57934.01,1.0,20,East,Cancelled,Customer_105,18-11-2025
100028,1028,Eggs,Groceries,,9.0,10,North,Pending,Customer_136,29-04-2025
100029,1029,Speaker,Electronics,15629.25,5.0,5,East,Returned,Customer_129,22-02-2025
100030,1030,Printer,Electronics,,1.0,10,South,Returned,Customer_283,14-03-2026
100031,1031,Cricket Bat,Sports,11276.2,3.0,20,South,Returned,Customer_66,12-02-2025
100032,1032,Jacket,Clothing,89908.25,1.0,5,North,Cancelled,Customer_400,21-02-2026
100033,1033,Gloves,Sports,15539.88,4.0,5,West,Completed,Customer_92,07-12-2025
100034,1034,Bread,Groceries,26753.89,2.0,15,South,Pending,Customer_419,17-04-2026
100035,1035,Jacket,Clothing,82071.58,4.0,15,East,Cancelled,Customer_443,13-03-2025
100036,1036,Jacket,Clothing,64184.03,7.0,10,North,Completed,Customer_450,25-09-2025
100037,1037,Bed,Furniture,3921.89,10.0,10,West,Completed,Customer_198,14-07-2025
100038,1038,T-Shirt,Clothing,70907.65,1.0,5,East,Returned,Customer_36,05-12-2025
100039,1039,Tennis Racket,Sports,66372.41,2.0,10,West,Cancelled,Customer_207,30-10-2025
100040,1040,Football,Sports,19264.83,7.0,20,East,Returned,Customer_281,01-01-2025
100041,1041,Jacket,Clothing,21097.25,10.0,15,West,Pending,Customer_262,30-04-2026
100042,1042,Table,Furniture,28450.26,10.0,5,East,Pending,Customer_413,23-07-2025
100043,1043,Chair,Furniture,4716.75,8.0,15,West,Pending,Customer_368,29-01-2026
100044,1044,Tea,Groceries,24474.05,1.0,0,West,Pending,Customer_91,15-06-2026
100045,1045,Rice,Groceries,55784.84,2.0,20,East,Returned,Customer_314,01-06-2026
100046,1046,Coffee,Groceries,89731.09,8.0,10,West,Pending,Customer_141,27-03-2026
100047,1047,Phone,Electronics,23525.91,6.0,5,South,Pending,Customer_197,06-06-2025
100048,1048,Table,Furniture,41545.3,6.0,5,West,Returned,Customer_464,21-01-2025
100049,1049,Badminton Racket,Sports,47750.28,6.0,15,South,Returned,Customer_113,07-10-2025
100050,1050,Coffee,Groceries,2999.58,6.0,5,West,Pending,Customer_319,28-01-2025
100051,1051,Rice,Groceries,8486.35,7.0,0,East,Returned,Customer_168,05-08-2025
100052,1052,Sugar,Groceries,33816.3,7.0,15,East,Completed,Customer_241,20-01-2025
100053,1053,Cricket Bat,Sports,99990.79,6.0,0,North,Pending,Customer_103,21-01-2025
100054,1054,Football,Sports,23930.64,8.0,5,West,Cancelled,Customer_393,13-01-2026
100055,1055,Table,Furniture,77801.41,3.0,0,East,Returned,Customer_204,23-07-2025
