order_id,customer_id,calculated_revenue,payment_amount,revenue_difference
6063,868,11443.1000,null,11443.1000
4046,1384,11443.1000,null,11443.1000
2227,222,11443.1000,null,11443.1000
1966,1804,11385.1500,null,11385.1500
19044,1649,11443.1000,117.4900,11325.6100
15640,1390,11443.1000,153.8000,11289.3000
4187,862,11385.1500,109.4200,11275.7300
17604,1023,11443.1000,212.0500,11231.0500
10545,1176,11385.1500,173.9100,11211.2400
17414,176,11385.1500,200.9800,11184.1700
3175,1091,11443.1000,296.8000,11146.3000
3096,1403,11385.1500,268.5600,11116.5900
3189,893,11443.1000,352.5400,11090.5600
1023,1209,11385.1500,295.9300,11089.2200
4546,103,11443.1000,355.6600,11087.4400
3755,336,11385.1500,313.9600,11071.1900
7128,1250,11385.1500,323.6600,11061.4900
19284,580,11443.1000,412.6600,11030.4400
8892,651,11443.1000,464.6100,10978.4900
18112,1149,11385.1500,416.5400,10968.6100
6781,329,11443.1000,500.0200,10943.0800
2632,274,11443.1000,561.6500,10881.4500
19578,981,11385.1500,509.9400,10875.2100
3803,1136,11443.1000,571.9800,10871.1200
6149,1887,11385.1500,515.7000,10869.4500
1143,1923,11443.1000,579.1700,10863.9300
6613,917,10825.2000,null,10825.2000
15735,1736,10825.2000,null,10825.2000
1346,332,11385.1500,623.4400,10761.7100
6960,1774,11443.1000,700.7600,10742.3400
2594,1867,11385.1500,663.8200,10721.3300
16996,463,11385.1500,683.2600,10701.8900
2388,1798,10825.2000,168.5700,10656.6300
12617,763,11443.1000,799.4600,10643.6400
13442,1438,10825.2000,187.3000,10637.9000
13291,930,10789.3000,152.4300,10636.8700
2536,1407,11443.1000,811.4000,10631.7000
15409,1621,11443.1000,824.6200,10618.4800
18390,1031,11443.1000,852.8700,10590.2300
18767,1329,10825.2000,251.7800,10573.4200
15096,1888,10825.2000,257.0000,10568.2000
19380,1146,10789.3000,243.6100,10545.6900
4759,599,11443.1000,900.4500,10542.6500
12368,478,11443.1000,902.5300,10540.5700
14739,1480,11385.1500,865.1000,10520.0500
7943,1305,11443.1000,923.5000,10519.6000
16591,108,10825.2000,312.3900,10512.8100
9660,329,10495.3500,null,10495.3500
2278,1759,10495.3500,null,10495.3500
8977,1303,10495.3500,null,10495.3500
10713,1163,10495.3500,null,10495.3500
132,1322,10495.3500,null,10495.3500
669,1295,11385.1500,927.5100,10457.6400
10334,865,11443.1000,985.4900,10457.6100
1502,1882,10789.3000,360.6400,10428.6600
8256,845,11385.1500,982.4600,10402.6900
1207,534,10495.3500,106.2400,10389.1100
19919,1776,10495.3500,106.5700,10388.7800
19690,671,10789.3000,400.8600,10388.4400
6223,1121,10789.3000,408.3800,10380.9200
8080,1404,11443.1000,1064.0400,10379.0600
1330,876,11443.1000,1068.4600,10374.6400
19389,1020,11443.1000,1071.7300,10371.3700
16675,458,10825.2000,456.4300,10368.7700
18202,850,10789.3000,420.7600,10368.5400
15748,36,10825.2000,457.0200,10368.1800
18131,1256,11443.1000,1106.4000,10336.7000
2044,693,11443.1000,1115.7800,10327.3200
16196,756,10825.2000,499.0300,10326.1700
7520,1036,11443.1000,1120.2500,10322.8500
19511,885,10825.2000,521.9500,10303.2500
6099,1010,10789.3000,486.1900,10303.1100
19699,984,10789.3000,491.1600,10298.1400
5867,156,10495.3500,208.9000,10286.4500
19672,102,11443.1000,1178.7300,10264.3700
6720,254,11443.1000,1180.9100,10262.1900
3070,563,10825.2000,572.3500,10252.8500
19600,1154,10825.2000,580.5100,10244.6900
19190,1321,10495.3500,254.0700,10241.2800
1430,357,10495.3500,261.1700,10234.1800
11765,623,11385.1500,1200.6900,10184.4600
792,297,10180.6500,null,10180.6500
3960,1553,10180.6500,null,10180.6500
9441,1937,10180.6500,null,10180.6500
3385,296,10180.6500,null,10180.6500
15532,450,10180.6500,null,10180.6500
1823,522,10180.6500,null,10180.6500
5831,1099,10180.6500,null,10180.6500
14407,217,10180.6500,null,10180.6500
6588,417,11443.1000,1263.3700,10179.7300
19685,275,10179.2000,null,10179.2000
16053,202,10179.2000,null,10179.2000
19539,120,10179.2000,null,10179.2000
19169,1902,10179.2000,null,10179.2000
15842,24,11443.1000,1285.2800,10157.8200
