item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000001,O000001,P00120,3,11861.61,5
I0000002,O000001,P00096,2,111131.07,40
I0000003,O000002,P00398,5,1619.73,10
I0000004,O000002,P00120,3,11391.5,15
I0000005,O000002,P00073,5,18453.4,50
I0000006,O000003,P00437,2,14990.75,20
I0000007,O000004,P00131,2,71013.62,0
I0000008,O000004,P00343,2,513.21,0
I0000009,O000004,P00171,4,6555.25,5
I0000010,O000005,P00480,4,664.55,30
I0000011,O000005,P00212,3,3345.18,10
I0000012,O929229,P00467,2,1542.31,0
I0000013,O000006,P00197,2,4199.45,30
I0000014,O000007,P00016,1,132670.4,20
I0000015,O000007,P00198,5,4604.05,40
I0000016,O000007,P00085,1,52235.45,5
I0000017,O000008,P00082,2,141777.31,30
I0000018,O000009,P00486,4,12219.9,0
I0000019,O000009,P00169,1,2301.71,70
I0000020,O000009,P00147,2,209785.9,10
I0000021,O000010,P00457,1,1124.77,0
I0000022,O000010,P00197,1,5325.56,50
I0000023,O000011,P00440,3,7046.31,70
I0000024,O000011,P00199,2,3542.07,70
I0000025,O000011,P00337,1,789.21,10
I0000026,O000011,P00474,4,1454.34,40
I0000027,O000011,P00390,5,15717.79,10
I0000028,O000012,P00165,5,7808.69,70
I0000029,O000012,P00096,4,105865.22,15
I0000030,O000012,P00546,2,6399.39,20
I0000031,O000013,P00187,2,6015.91,10
I0000032,O000014,P00409,5,10847.86,50
I0000033,O000014,P00417,-4,21795.08,40
I0000034,O000014,P00096,3,122266.23,0
I0000035,O000014,P00331,-4,1572.94,50
I0000036,O000014,P00209,5,6364.27,50
I0000037,O000015,P00444,4,1702.83,70
I0000038,O000016,P00422,1,41205.22,20
I0000039,O000016,P00111,5,41143.79,30
I0000040,O968228,P00060,4,88907.47,15
I0000041,O000017,P00529,3,5981.94,20
I0000042,O000017,P00140,3,242901.29,50
I0000043,O000017,P00121,2,66185.87,0
I0000044,O000018,P00224,3,5829.75,20
I0000045,O000019,P00129,5,162571.07,15
I0000046,O000019,P00141,1,138535.78,0
I0000047,O000019,P00019,4,191663.76,5
I0000048,O000020,P00505,3,25794.6,20
I0000049,O000020,P00409,2,15940.13,10
I0000050,O000021,P00333,1,1660.26,20
I0000051,O000021,P00155,3,105751.92,5
I0000052,O000022,P00417,4,29868.56,30
I0000053,O000023,P00406,5,38094.02,70
I0000054,O000023,P00036,1,162798.75,40
I0000055,O000023,P00529,1,5783.47,30
I0000056,O000023,P00170,1,7092.0,15
I0000057,O000023,P00018,5,52721.46,70
I0000058,O000024,P00026,1,5959.48,5
I0000059,O000025,P00092,4,191046.82,0
I0000060,O000025,P00222,3,7875.68,10
I0000061,O000025,P00198,5,7310.35,70
I0000062,O000026,P00387,5,8567.07,30
I0000063,O000026,P00078,4,230521.25,40
I0000064,O000026,P00096,1,144536.26,40
I0000065,O000026,P00470,4,2319.13,15
I0000066,O000026,P00202,4,1521.97,10
I0000067,O000027,P00426,2,20151.68,5
I0000068,O000027,P00514,3,10721.52,50
I0000069,O000027,P00470,3,2698.15,0
I0000070,O000027,P00145,4,119479.27,70
I0000071,O000027,P00197,2,3571.89,5
I0000072,O000028,P00329,1,692.94,10
I0000073,O000028,P00505,-3,21853.6,0
I0000074,O000028,P00349,1,1906.86,0
I0000075,O000028,P00118,2,87792.4,70
I0000076,O000029,P00145,2,95151.24,0
I0000077,O000029,P00247,1,6620.23,20
I0000078,O000029,P00193,1,2927.33,0
I0000079,O000029,P00381,2,21863.62,127
I0000080,O000029,P00480,-4,661.17,20
I0000081,O000030,P00268,1,3977.51,10
I0000082,O000030,P00047,5,81971.12,70
I0000083,O000030,P00332,3,2425.84,20
I0000084,O000030,P00082,4,198592.83,20
I0000085,O000031,P00414,3,34354.83,10
I0000086,O000031,P00538,1,962.71,10
I0000087,O000031,P00190,2,6786.74,70
I0000088,O000031,P00197,1,5123.97,40
I0000089,O000031,P00430,4,33414.09,20
I0000090,O000032,P00497,1,2936.48,30
I0000091,O000033,P00381,3,17570.68,70
I0000092,O000033,P00505,4,31225.49,15
I0000093,O000033,P00525,2,10100.98,10
I0000094,O000033,P00486,3,9698.66,20
I0000095,O000034,P00072,3,45253.97,70
I0000096,O000034,P00012,5,118282.69,0
I0000097,O000035,P00512,1,4050.16,15
I0000098,O000036,P00127,5,208951.1,50
I0000099,O000036,P00382,2,31532.8,0
I0000100,O000036,P00497,5,3838.96,10
I0000101,O000037,P00497,2,2385.57,50
I0000102,O000037,P00457,5,949.7,10
I0000103,O000037,P00174,2,598.43,0
I0000104,O000037,P00407,5,26140.82,50
I0000105,O000037,P00533,3,5405.86,50
I0000106,O000038,P00141,3,202098.4,5
I0000107,O000038,P00295,3,385.76,0
I0000108,O000038,P00171,4,6272.98,70
I0000109,O000038,P00065,1,79976.47,40
I0000110,O000038,P00080,2,104088.12,5
I0000111,O000039,P00073,1,13735.06,5
I0000112,O000039,P00497,5,3272.16,10
I0000113,O000039,P00031,4,4526.38,70
I0000114,O000040,P00398,2,1583.82,10
I0000115,O000040,P00450,1,514.85,70
I0000116,O000040,P00080,4,161075.83,40
I0000117,O000040,P00018,-3,54813.23,0
I0000118,O000040,P00409,4,17515.47,5
I0000119,O000041,P00018,2,34105.11,0
I0000120,O000041,P00188,4,628.41,10
I0000121,O000041,P00229,2,2942.66,15
I0000122,O000041,P00225,1,3142.6,20
I0000123,O000042,P00331,3,1396.95,20
I0000124,O000042,P00381,4,22177.1,50
I0000125,O000042,P00111,0,28456.08,10
I0000126,O977315,P00197,3,5344.42,30
I0000127,O000042,P00305,5,1536.48,15
I0000128,O000043,P00331,3,1311.31,40
I0000129,O000043,P00466,4,2179.45,5
I0000130,O000044,P00365,2,1294.26,10
I0000131,O000044,P00410,5,53366.64,50
I0000132,O000044,P00092,2,167499.66,70
I0000133,O000044,P00268,2,3132.8,10
I0000134,O000044,P00343,2,422.84,20
I0000135,O000045,P00251,2,6613.49,30
I0000136,O000045,P00080,3,192189.29,10
I0000137,O000045,P00101,1,174649.69,70
I0000138,O000046,P00036,5,158465.86,50
I0000139,O000046,P00141,3,146283.66,50
I0000140,O000046,P00255,2,1944.16,20
I0000141,O000047,P00070,4,162017.84,15
I0000142,O000047,P00070,3,136613.03,113
I0000143,O000047,P00090,2,23646.08,10
I0000144,O000047,P00202,1,1803.38,50
I0000145,O000047,P00179,4,6868.23,0
I0000146,O000048,P00197,2,4860.68,15
I0000147,O000048,P00092,2,217632.89,0
I0000148,O000048,P00228,3,10878.99,70
I0000149,O000049,P00397,1,32950.11,0
I0000150,O000049,P00224,3,5615.89,15
I0000151,O000050,P00457,1,1004.14,70
I0000152,O000051,P00188,3,768.19,50
I0000153,O000052,P00398,3,1072.85,50
I0000154,O000052,P00281,4,2378.57,40
I0000155,O000053,P00398,3,1159.45,15
I0000156,O000054,P00407,3,36476.77,30
I0000157,O000054,P00390,5,15014.93,5
I0000158,O000054,P00305,2,2220.77,70
I0000159,O000054,P00546,4,5851.44,5
I0000160,O000055,P00018,3,46138.46,30
I0000161,O000055,P00538,1,1111.38,40
I0000162,O000055,P00198,4,5999.2,70
I0000163,O000055,P00440,5,6991.99,5
I0000164,O000055,P00024,2,106102.71,15
I0000165,O000056,P00242,1,912.44,50
I0000166,O000057,P00080,-2,175262.17,40
I0000167,O000057,P00343,4,424.71,40
I0000168,O000057,P00497,4,2947.09,50
I0000169,O000057,P00198,4,8165.84,50
I0000170,O000057,P00198,2,6837.42,40
I0000171,O000058,P00486,1,14819.03,70
I0000172,O000058,P00515,2,26524.79,20
I0000173,O000059,P00457,4,1062.81,10
I0000174,O000059,P00474,5,1028.4,10
I0000175,O000059,P00072,3,54759.49,10
I0000176,O000059,P00129,3,144342.44,30
I0000177,O000059,P00198,5,4641.69,20
I0000178,O000060,P00070,5,205249.38,5
I0000179,O000060,P00190,5,5465.95,30
I0000180,O000060,P00026,4,6039.7,50
I0000181,O000061,P00337,4,878.9,50
I0000182,O000061,P00457,2,1203.3,0
I0000183,O000061,P00473,2,2415.45,15
I0000184,O000061,P00486,1,11954.98,5
I0000185,O000062,P00012,4,163350.02,70
I0000186,O000062,P00212,1,3753.77,70
I0000187,O000062,P00486,1,15076.64,40
I0000188,O000062,P00121,-4,69031.04,0
I0000189,O000063,P00072,5,42250.44,0
I0000190,O000064,P00074,4,125816.0,20
I0000191,O000064,P00365,4,1953.13,0
I0000192,O000065,P00059,5,123868.4,0
I0000193,O000066,P00013,4,185002.82,0
I0000194,O000067,P00080,4,133170.91,15
I0000195,O000067,P00407,3,33879.73,20
I0000196,O000067,P00012,2,98926.22,30
I0000197,O000068,P00220,3,6402.18,40
I0000198,O000068,P00199,4,3803.59,50
I0000199,O000068,P00444,2,2042.88,70
I0000200,O000069,P00065,4,128531.31,15
I0000201,O000069,P00384,2,4713.55,70
I0000202,O000069,P00391,3,13502.83,20
I0000203,O000070,P00525,2,7555.46,5
I0000204,O000071,P00467,5,1309.63,30
I0000205,O000072,P00398,5,1168.7,20
I0000206,O000072,P00389,2,3485.33,10
I0000207,O000072,P00329,0,1055.23,0
I0000208,O000072,P00414,5,48272.89,30
I0000209,O000073,P00012,5,108698.69,50
I0000210,O000073,P00381,5,23694.6,30
I0000211,O000073,P00158,4,95917.25,40
I0000212,O000073,P00409,-4,11549.52,30
I0000213,O000074,P00409,3,18627.18,0
I0000214,O000074,P00411,3,1923.22,10
I0000215,O000075,P00343,4,502.49,50
I0000216,O000075,P00422,2,52927.06,10
I0000217,O000075,P00406,2,50807.78,10
I0000218,O000075,P00193,5,4154.91,70
I0000219,O000076,P00343,4,438.46,40
I0000220,O000076,P00306,3,1020.78,20
I0000221,O000076,P00065,1,94473.51,104
I0000222,O000077,P00070,4,168768.4,15
I0000223,O000077,P00538,5,1553.12,40
I0000224,O000077,P00080,5,168554.33,30
I0000225,O000077,P00171,4,8508.57,10
I0000226,O000078,P00338,5,684.87,5
I0000227,O000078,P00229,5,2457.77,70
I0000228,O000078,P00171,5,6661.76,15
I0000229,O000078,P00437,5,13618.59,50
I0000230,O000078,P00388,2,10983.85,70
I0000231,O000079,P00295,2,328.79,30
I0000232,O000079,P00386,1,17114.8,20
I0000233,O000080,P00393,2,60369.63,10
I0000234,O000080,P00450,1,767.47,20
I0000235,O000081,P00433,4,48796.11,15
I0000236,O000081,P00473,2,2971.63,70
I0000237,O000082,P00512,2,7597.19,0
I0000238,O000082,P00281,4,2889.3,10
I0000239,O000082,P00131,3,69025.28,15
I0000240,O000083,P00072,1,45371.97,0
I0000241,O000083,P00164,4,8676.34,50
I0000242,O000083,P00339,4,1342.01,30
I0000243,O970218,P00170,2,6140.24,70
I0000244,O000083,P00467,1,2126.64,20
I0000245,O000084,P00444,3,1456.48,30
I0000246,O000085,P00409,2,15651.72,10
I0000247,O000085,P00256,-5,536.09,40
I0000248,O000085,P00194,2,2097.57,5
I0000249,O000085,P00047,5,55776.42,15
I0000250,O000085,P00358,3,9776.11,70
I0000251,O000086,P00097,4,78311.52,40
I0000252,O000086,P00387,3,9480.05,0
I0000253,O000086,P00229,4,2433.73,70
I0000254,O000086,P00096,4,143051.7,50
I0000255,O000087,P00229,4,3595.36,5
I0000256,O000088,P00320,5,140.23,15
I0000257,O000088,P00070,3,133430.41,40
I0000258,O000088,P00070,1,117536.93,50
I0000259,O000088,P00262,2,8780.64,5
I0000260,O000088,P00388,0,11892.83,40
I0000261,O000089,P00197,5,3403.92,50
I0000262,O000089,P00171,1,7697.57,40
I0000263,O000090,P00320,5,147.1,0
I0000264,O000090,P00190,5,6833.61,5
I0000265,O000090,P00512,4,2180.3,20
I0000266,O000091,P00467,2,1984.59,40
I0000267,O000091,P00033,3,104245.15,10
I0000268,O000092,P00284,3,2684.63,0
I0000269,O000092,P00171,5,10910.76,15
I0000270,O000092,P00384,3,8345.38,40
I0000271,O000093,P00145,-3,84083.38,10
I0000272,O000094,P00479,1,3006.76,50
I0000273,O000094,P00198,5,6357.17,70
I0000274,O000094,P00019,3,159997.47,15
I0000275,O000094,P00190,1,4674.32,0
I0000276,O000094,P00527,4,8687.29,70
I0000277,O000095,P00036,1,110768.43,15
I0000278,O000095,P00172,3,5866.81,40
I0000279,O000096,P00497,1,3928.68,15
I0000280,O000096,P00225,5,3292.42,0
I0000281,O000096,P00233,5,7096.97,10
I0000282,O000097,P00063,5,1126.32,70
I0000283,O000097,P00407,3,29205.39,30
I0000284,O000098,P00148,5,228993.1,70
I0000285,O000098,P00087,5,22073.56,0
I0000286,O000098,P00332,2,1531.36,0
I0000287,O000098,P00457,4,1051.09,50
I0000288,O000099,P00534,2,3711.69,5
I0000289,O000100,P00415,3,32747.47,5
