order_id,customer_id,order_date,status,region_code
O000001,C00001,2024-07-26 02:29:06,DELIVERED,NORTH
O000002,C00001,2024-11-10 15:18:16,SHIPPED,CENTRAL
O000003,C00001,2024-02-25 00:53:36,Placed,NORTH
O000004,C00001,2024-11-12 00:06:27,SHIPPED,WEST
O000005,C00001,2024-12-17 05:26:28,RETURNED,NORTH
O000006,C00001,2025-11-13 12:24:18,DELIVERED,NORTH
O000007,C00002,2025-12-11 01:10:42,DELIVERED,WEST
O000008,C00002,2025-05-19 16:41:28,DELIVERED,EAST
O000009,,2024-02-02 20:36:41,DELIVERED,EAST
O000010,C00002,2024-01-13 11:20:19,DELIVERED,NORTH
O000011,C00002,2024-11-23 07:42:52,SHIPPED,WEST
O000012,C00003,02-11-2024 08:12:59,DELIVERED,WEST
O000013,C00003,2024-12-10 12:22:48,DELIVERED,NORTH
O000014,NULL,2025-01-18 15:39:29,PLACED,NORTH
O000015,C00004,2024-06-05 12:40:06,DELIVERED,SOUTH
O000016,C00004,2024-07-21 10:14:15,DELIVERED,NORTH
O000017,C00004,2025-10-04 04:40:47,RETURNED,NORTH
O000018,C00004,2025-11-24 15:48:12,DELIVERED,EAST
O000019,C00004,2026-05-20 11:12:53,DELIVERED,NORTH
O000020,C00004,2026-02-21 17:36:49,CANCELLED,CENTRAL
O000021,C00004,2024-10-22 10:49:52,RETURNED,NORTH
O000022,C00004,2025-08-29 05:27:32,SHIPPED,SOUTH
O000023,C00004,2025-12-08 12:04:14,DELIVERED,NORTH
O000024,C00005,2024-11-02 20:09:56,PLACED,CENTRAL
O000025,C00005,2025-12-20 11:20:05,SHIPPED,NORTH
O000026,C00005,2024-01-17 04:02:43,SHIPPED,WEST
O000027,C00005,2026-06-25 01:33:15,DELIVERED,SOUTH
O000028,C00005,2024-12-08 18:01:10,DELIVERED,WEST
O000029,C00005,2024-08-18 10:17:57,SHIPPED,NORTH
O000030,C00005,2025-03-14 03:22:18,DELIVERED,NORTH
O000031,C00005,24-10-2025 16:08:46,DELIVERED,NORTH
O000032,C00006,05-11-2024 20:38:00,DELIVERED,EAST
