product_id,product_name,category,subcategory,cost_price
P00001,Samsung Galaxy S24 Blue,Electronics,Accessories,9428.41
P00002,MacBook Air,Electronics,Accessories,30616.87
P00003,HP Pavilion,Electronics,Audio,82046.09
P00004,MacBook Air Max,Electronics,Laptops,81488.03
P00005,OnePlus Nord XL,Electronics,Laptops,35044.92
P00006,OnePlus Nord,Electronics,Tablets,26853.08
P00007,Printer,Electronics,Laptops,28795.48
P00008,Monitor Plus,Electronics,Printers,13517.36
P00009,Realme Pad 2026 Edition,Electronics,Smartphones,101882.86
P00010,Printer,Electronics,Audio,22598.33
P00011,Mechanical Keyboard 64GB,Electronics,Audio,57815.75
P00012,Smart Watch,Electronics,Smartphones,84030.75
P00013,HP Pavilion 128GB,Electronics,Accessories,103531.57
P00014,Realme Pad 256GB,Electronics,Laptops,50755.88
P00015,Canon Camera 256GB,Electronics,Cameras,28045.16
P00016,Boat Speaker,Electronics,Printers,115130.43
P00017,Canon Camera 2026 Edition,Electronics,Accessories,86690.79
P00018,Realme Pad 128GB,Electronics,Smartphones,26483.71
P00019,Wireless Mouse White,Electronics,Accessories,111875.87
P00020,Monitor Plus,Electronics,Accessories,78263.97
P00021,Sony Headphones Red,Electronics,Audio,106844.19
P00022,Dell Inspiron,Electronics,Tablets,51080.53
P00023,iPhone 15 512GB,Electronics,Cameras,35529.68
P00024,Canon Camera,Electronics,Cameras,70760.84
P00025,Samsung Galaxy S24 512GB,Electronics,Cameras,84323.07
P00026,iPhone 15,Electronics,Smartphones,3942.7
P00027,MacBook Air 128GB,Electronics,Audio,37676.98
P00028,DELL INSPIRON 256GB,Electronics,Printers,109900.47
P00029,Printer Red,Electronics,Cameras,65083.08
P00030,Printer Pro,Electronics,Accessories,37711.63
P00031,Canon Camera Blue,Electronics,Tablets,2058.25
P00032,MacBook Air 64GB,Electronics,Audio,113677.34
P00033,MACBOOK AIR 2025 EDITION,Electronics,Laptops,49878.92
P00034,Wireless Mouse 2026 Edition,Electronics,Tablets,10241.8
P00035,Realme Pad,Electronics,Tablets,78096.08
P00036,iPhone 15 Black,Electronics,Audio,74433.35
P00037, Samsung Galaxy S24 Pro,Electronics,Tablets,32888.06
P00038,Dell Inspiron 512GB,Electronics,Tablets,94458.46
P00039,Samsung Galaxy S24 2026 Edition,Electronics,Laptops,7479.77
P00040,HP Pavilion,Electronics,Audio,99527.64
P00041,Mechanical Keyboard,Electronics,Smartphones,24542.24
P00042,HP Pavilion Max,Electronics,Tablets,19706.48
P00043,iPhone 15 Max,Electronics,Tablets,106592.33
P00044,Smart Watch 64GB,Electronics,Tablets,70495.87
P00045,Realme Pad,Electronics,Accessories,19275.04
P00046,Smart Watch 2025 Edition,Electronics,Smartphones,43177.71
P00047,Canon Camera Pro,Electronics,Printers,42200.27
P00048,Boat Speaker 256GB,Electronics,Smartphones,58648.01
P00049,HP Pavilion Pro,Electronics,Cameras,56632.65
P00050,Dell Inspiron 256GB,Electronics,Printers,32191.23
P00051,Boat Speaker,Electronics,Accessories,102934.05
P00052,Smart Watch,Electronics,Laptops,63269.12
P00053,Sony Headphones White,Electronics,Accessories,79339.81
P00054,Samsung Galaxy S24 Red,Electronics,Smartphones,68864.65
P00055,Wireless Mouse 64GB,Electronics,Accessories,86367.15
P00056, Printer,Electronics,Tablets,67315.97
P00057,Wireless Mouse Plus,Electronics,Smartphones,88328.6
P00058,OnePlus Nord XL,Electronics,Audio,23383.68
P00059,Dell Inspiron Pro,Electronics,Smartphones,92140.98
P00060,Boat Speaker,Electronics,Laptops,66355.88
P00061,Realme Pad White,Electronics,Accessories,118982.39
P00062,Boat Speaker,Electronics,Laptops,67926.85
P00063,MacBook Air Red,Electronics,Audio,823.32
P00064,Dell Inspiron,Electronics,Tablets,118139.82
P00065,Wireless Mouse,Electronics,Accessories,67113.71
P00066,Sony Headphones Black,Electronics,Accessories,30582.94
P00067,Realme Pad,Electronics,Cameras,39503.29
P00068,Wireless Mouse 128GB,Electronics,Tablets,5254.69
P00069,Printer,Electronics,Printers,52569.08
P00070,Wireless Mouse Plus,Electronics,Cameras,93468.3
P00071,OnePlus Nord White,Electronics,Laptops,19061.14
P00072,Mechanical Keyboard Pro,Electronics,Audio,35342.14
P00073,Realme Pad,Electronics,Tablets,10941.42
P00074,Dell Inspiron 512GB,Electronics,Cameras,68902.62
P00075,HP Pavilion 2025 Edition,Electronics,Cameras,110957.26
P00076,Sony Headphones White,Electronics,Smartphones,92546.01
P00077,Mechanical Keyboard 256GB,Electronics,Printers,28631.96
P00078,iPhone 15 64GB,Electronics,Accessories,111266.18
P00079,Wireless Mouse,Electronics,Audio,3511.58
P00080,OnePlus Nord,Electronics,Accessories,87806.89
P00081,Realme Pad,Electronics,Tablets,21102.1
P00082,SAMSUNG GALAXY S24 64GB,Electronics,Cameras,102368.29
P00083,Monitor,Electronics,Audio,61418.01
P00084,Realme Pad 256GB,Electronics,Audio,67633.95
P00085,MacBook Air Blue,Electronics,Smartphones,42136.16
P00086,OnePlus Nord 64GB,Electronics,Audio,106935.93
P00087,MacBook Air White,Electronics,Cameras,17161.47
P00088,Monitor 512GB,Electronics,Accessories,19007.7
P00089,OnePlus Nord Max,Electronics,Accessories,82338.6
P00090,Printer 256GB,Electronics,Printers,18102.17
P00091,OnePlus Nord XL,Electronics,Tablets,100871.08
P00092,Boat Speaker,Electronics,Cameras,112105.21
P00093,Mechanical Keyboard 256GB,Electronics,Printers,118325.91
P00094, Realme Pad Max,Electronics,Cameras,93755.29
P00095,Smart Watch 2026 Edition,Electronics,Audio,17191.52
P00096,Samsung Galaxy S24,Electronics,Laptops,89290.11
P00097,Printer,Electronics,Accessories,59201.19
P00098,Boat Speaker,Electronics,Printers,46140.6
P00099,Realme Pad Max,Electronics,Printers,5390.63
P00100,Printer,Electronics,Audio,118072.61
P00101,Samsung Galaxy S24 Red,Electronics,Tablets,93022.3
P00102,Printer Pro,Electronics,Audio,99723.31
P00103,Mechanical Keyboard XL,Electronics,Audio,50096.27
P00104,Wireless Mouse,Electronics,Smartphones,30609.81
P00105,Wireless Mouse,Electronics,Cameras,54368.29
P00106,Mechanical Keyboard,Electronics,Laptops,45938.49
P00107,Realme Pad,Electronics,Laptops,104363.17
P00108,MacBook Air,Electronics,Tablets,75473.18
P00109,realme pad,Electronics,Printers,60238.16
P00110,HP Pavilion Red,Electronics,Audio,10265.07
P00111,Realme Pad 2026 Edition,Electronics,Smartphones,22832.93
P00112,Samsung Galaxy S24 2026 Edition,Electronics,Tablets,110509.86
P00113,Smart Watch Max,Electronics,Accessories,69016.08
P00114,Sony Headphones,Electronics,Tablets,39280.36
P00115,Monitor Black,Electronics,Smartphones,83598.64
P00116,Wireless Mouse 64GB,Electronics,Cameras,117538.51
P00117,Realme Pad,Electronics,Tablets,51704.79
P00118,Realme Pad 256GB,Electronics,Audio,62748.93
P00119,Realme Pad Black,Electronics,Smartphones,14890.29
P00120,HP Pavilion,Electronics,Audio,6222.67
P00121,Smart Watch Black,Electronics,Smartphones,37486.49
P00122,Smart Watch Blue,Electronics,Accessories,115245.45
P00123,Printer Red,Electronics,Cameras,16981.86
P00124,Printer 2025 Edition,Electronics,Cameras,7477.86
P00125,OnePlus Nord 512GB,Electronics,Tablets,96104.61
P00126,MacBook Air,Electronics,Audio,75480.09
P00127,Realme Pad 2025 Edition,Electronics,Cameras,103052.08
P00128,Printer Red,Electronics,Tablets,26563.87
P00129,Mechanical Keyboard 128GB,Electronics,Smartphones,96043.81
P00130,Canon Camera,Electronics,Printers,39818.68
P00131,OnePlus Nord 256GB,Electronics,Smartphones,55556.71
P00132,Printer 2026 Edition,Electronics,Smartphones,40528.14
P00133,Wireless Mouse Plus,Electronics,Cameras,107142.56
P00134,Sony Headphones,Electronics,Tablets,18599.03
P00135,OnePlus Nord Pro,Electronics,Tablets,33109.41
P00136,Dell Inspiron Plus,Electronics,Accessories,53682.8
P00137,iPhone 15 128GB,Electronics,Laptops,84797.57
P00138,Canon Camera Black,Electronics,Laptops,85777.52
P00139,Mechanical Keyboard,Electronics,Smartphones,97691.84
P00140,Smart Watch 2025 Edition,Electronics,Laptops,113735.83
P00141,Sony Headphones XL,Electronics,Tablets,94822.42
P00142,Canon Camera Red,Electronics,Laptops,34445.08
P00143,Boat Speaker,Electronics,Tablets,67093.06
P00144,Realme Pad Plus,Electronics,Laptops,116887.89
P00145,Realme Pad Blue,Electronics,Tablets,65707.6
P00146,Printer,Electronics,Smartphones,71385.85
P00147, Dell Inspiron Blue,Electronics,Cameras,97836.75
P00148,Smart Watch 512GB,Electronics,Accessories,108468.12
P00149,Dell Inspiron Black,Electronics,Accessories,54101.44
P00150,Mechanical Keyboard,Electronics,Audio,86360.71
P00151,Realme Pad,Electronics,Laptops,102418.62
P00152,Samsung Galaxy S24,Electronics,Tablets,13876.04
P00153,Realme Pad White,Electronics,Audio,46282.55
P00154,HP Pavilion 2026 Edition,Electronics,Printers,50534.47
P00155,Samsung Galaxy S24 64GB,Electronics,Audio,79224.86
P00156,Mechanical Keyboard Red,Electronics,Cameras,72848.0
P00157,OnePlus Nord,Electronics,Laptops,22946.29
P00158,HP Pavilion,Electronics,Accessories,69501.2
P00159,Sony Headphones Red,Electronics,Smartphones,17736.83
P00160,Mechanical Keyboard Pro,Electronics,Smartphones,30031.57
P00161,Track Pants,Clothing,Men,5440.79
P00162,Jacket White,Clothing,Kids,1877.41
P00163,Kurta Max,Clothing,Women,3522.59
P00164,Nike Shoes 128GB,Clothing,Men,5138.38
P00165,Formal Shirt 128GB,Clothing,Winter Wear,4486.01
P00166,Puma T-Shirt 2025 Edition,Clothing,Men,2188.52
P00167,Levis Jeans,Clothing,Footwear,4668.13
P00168,Puma T-Shirt 2026 Edition,Clothing,Sportswear,1733.49
P00169,Jacket XL,Clothing,Winter Wear,1555.24
