cohort_month,cohort_size,month_0,month_1,month_2,month_3,retention_month_1,retention_month_2,retention_month_3
1900-01-01,1,0,0,0,0,0.0,0.0,0.0
2024-01-01,12,2,3,1,0,25.0,8.33,0.0
2024-02-01,13,1,2,2,1,15.38,15.38,7.69
2024-03-01,26,5,4,3,1,15.38,11.54,3.85
2024-04-01,25,4,3,7,5,12.0,28.0,20.0
2024-05-01,21,3,6,3,3,28.57,14.29,14.29
2024-06-01,20,5,2,4,1,10.0,20.0,5.0
2024-07-01,17,2,1,0,5,5.88,0.0,29.41
2024-08-01,25,5,6,11,10,24.0,44.0,40.0
2024-09-01,22,3,12,7,7,54.55,31.82,31.82
2024-10-01,21,5,7,9,5,33.33,42.86,23.81
2024-11-01,14,7,8,2,1,57.14,14.29,7.14
2024-12-01,14,5,4,3,2,28.57,21.43,14.29
2025-01-01,17,2,0,2,1,0.0,11.76,5.88
2025-02-01,14,1,3,4,2,21.43,28.57,14.29
2025-03-01,22,3,7,4,3,31.82,18.18,13.64
2025-04-01,19,1,0,2,1,0.0,10.53,5.26
2025-05-01,20,5,5,5,5,25.0,25.0,25.0
2025-06-01,11,2,0,2,2,0.0,18.18,18.18
2025-07-01,22,5,4,2,7,18.18,9.09,31.82
2025-08-01,27,7,5,9,11,18.52,33.33,40.74
2025-09-01,29,4,8,9,13,27.59,31.03,44.83
2025-10-01,25,6,8,8,4,32.0,32.0,16.0
2025-11-01,16,8,7,4,1,43.75,25.0,6.25
2025-12-01,18,9,4,2,5,22.22,11.11,27.78
2026-01-01,25,1,4,5,6,16.0,20.0,24.0
2026-02-01,17,6,5,4,4,29.41,23.53,23.53
2026-03-01,15,2,1,2,1,6.67,13.33,6.67
2026-04-01,23,4,5,6,4,21.74,26.09,17.39
2026-05-01,9,0,0,1,0,0.0,11.11,0.0
2026-06-01,21,3,4,0,1,19.05,0.0,4.76
2026-07-01,20,2,0,1,0,0.0,5.0,0.0
