region_code,order_date,daily_revenue,running_total
CENTRAL,2024-01-04,225977.76,225977.76
CENTRAL,2024-01-13,76990.75,302968.51
CENTRAL,2024-01-19,269.46,303237.97
CENTRAL,2024-01-20,379321.44,682559.41
CENTRAL,2024-01-22,524458.93,1207018.34
CENTRAL,2024-01-24,124777.06,1331795.4
CENTRAL,2024-01-25,33687.97,1365483.37
CENTRAL,2024-01-26,862416.58,2227899.95
CENTRAL,2024-01-27,50574.49,2278474.44
CENTRAL,2024-01-28,145265.04,2423739.48
CENTRAL,2024-02-07,23535.74,2447275.22
CENTRAL,2024-02-12,998919.44,3446194.66
CENTRAL,2024-02-18,342640.73,3788835.39
CENTRAL,2024-02-20,32081.2,3820916.59
CENTRAL,2024-02-21,487827.84,4308744.43
CENTRAL,2024-02-29,295564.73,4604309.16
CENTRAL,2024-03-08,86195.89,4690505.05
CENTRAL,2024-03-12,1231762.41,5922267.46
CENTRAL,2024-03-15,63812.46,5986079.92
CENTRAL,2024-03-18,667351.84,6653431.76
CENTRAL,2024-03-21,6539.68,6659971.44
CENTRAL,2024-03-22,376426.9,7036398.34
CENTRAL,2024-03-23,2563.8,7038962.14
CENTRAL,2024-03-27,1976.17,7040938.31
CENTRAL,2024-03-29,3905.35,7044843.66
CENTRAL,2024-03-30,74026.89,7118870.55
CENTRAL,2024-04-01,471936.41,7590806.96
CENTRAL,2024-04-05,639918.3,8230725.26
CENTRAL,2024-04-10,347204.62,8577929.88
CENTRAL,2024-04-11,213314.02,8791243.9
CENTRAL,2024-04-12,4505.76,8795749.66
CENTRAL,2024-04-16,51315.37,8847065.03
CENTRAL,2024-04-30,15024.07,8862089.1
CENTRAL,2024-05-05,76386.83,8938475.93
CENTRAL,2024-05-07,130754.92,9069230.85
CENTRAL,2024-05-10,566361.98,9635592.83
CENTRAL,2024-05-13,299259.27,9934852.1
CENTRAL,2024-05-16,716251.34,10651103.44
CENTRAL,2024-05-28,16864.14,10667967.58
CENTRAL,2024-06-01,1372578.22,12040545.8
CENTRAL,2024-06-02,1311410.91,13351956.71
CENTRAL,2024-06-03,268872.56,13620829.27
CENTRAL,2024-06-09,175702.56,13796531.83
CENTRAL,2024-06-22,642510.16,14439041.99
CENTRAL,2024-06-26,246942.16,14685984.15
CENTRAL,2024-07-04,191220.67,14877204.82
CENTRAL,2024-07-10,361658.42,15238863.24
CENTRAL,2024-07-20,724335.74,15963198.98
CENTRAL,2024-07-22,115082.91,16078281.89
CENTRAL,2024-07-25,260947.72,16339229.61
CENTRAL,2024-07-31,424219.34,16763448.95
CENTRAL,2024-08-10,229166.28,16992615.23
CENTRAL,2024-08-12,35569.0,17028184.23
CENTRAL,2024-08-14,1045189.35,18073373.58
CENTRAL,2024-08-15,11877.56,18085251.14
CENTRAL,2024-08-18,82659.83,18167910.97
CENTRAL,2024-08-23,268780.05,18436691.02
CENTRAL,2024-08-26,34406.13,18471097.15
CENTRAL,2024-08-27,169625.68,18640722.83
CENTRAL,2024-09-15,1247535.47,19888258.3
CENTRAL,2024-09-26,511892.43,20400150.73
CENTRAL,2024-09-27,283669.68,20683820.41
CENTRAL,2024-10-01,52844.82,20736665.23
CENTRAL,2024-10-02,2796.43,20739461.66
CENTRAL,2024-10-03,397171.39,21136633.05
CENTRAL,2024-10-04,6371.24,21143004.29
CENTRAL,2024-10-05,188646.92,21331651.21
CENTRAL,2024-10-06,859225.94,22190877.15
CENTRAL,2024-10-07,3451.93,22194329.08
CENTRAL,2024-10-08,299610.34,22493939.42
CENTRAL,2024-10-09,63561.75,22557501.17
CENTRAL,2024-10-10,2830789.61,25388290.78
CENTRAL,2024-10-12,554856.48,25943147.26
CENTRAL,2024-10-13,3587.28,25946734.54
CENTRAL,2024-10-14,965244.96,26911979.5
CENTRAL,2024-10-15,4684.7,26916664.2
CENTRAL,2024-10-17,935592.02,27852256.22
CENTRAL,2024-10-19,392759.75,28245015.97
CENTRAL,2024-10-20,233653.57,28478669.54
