customer_id,order_date,previous_order_date,days_gap,average_gap,customer_status
C00000,2024-01-07,,,3.59,Active
C00000,2024-01-07,2024-01-07,0.0,3.59,Active
C00000,2024-01-20,2024-01-07,13.0,3.59,Active
C00000,2024-02-01,2024-01-20,12.0,3.59,Active
C00000,2024-02-02,2024-02-01,1.0,3.59,Active
C00000,2024-02-12,2024-02-02,10.0,3.59,Active
C00000,2024-02-13,2024-02-12,1.0,3.59,Active
C00000,2024-02-14,2024-02-13,1.0,3.59,Active
C00000,2024-02-17,2024-02-14,3.0,3.59,Active
C00000,2024-02-19,2024-02-17,2.0,3.59,Active
C00000,2024-02-25,2024-02-19,6.0,3.59,Active
C00000,2024-02-26,2024-02-25,1.0,3.59,Active
C00000,2024-02-26,2024-02-26,0.0,3.59,Active
C00000,2024-03-05,2024-02-26,8.0,3.59,Active
C00000,2024-03-06,2024-03-05,1.0,3.59,Active
C00000,2024-03-08,2024-03-06,2.0,3.59,Active
C00000,2024-03-13,2024-03-08,5.0,3.59,Active
C00000,2024-03-14,2024-03-13,1.0,3.59,Active
C00000,2024-03-18,2024-03-14,4.0,3.59,Active
C00000,2024-03-21,2024-03-18,3.0,3.59,Active
C00000,2024-04-03,2024-03-21,13.0,3.59,Active
C00000,2024-04-03,2024-04-03,0.0,3.59,Active
C00000,2024-04-07,2024-04-03,4.0,3.59,Active
C00000,2024-04-13,2024-04-07,6.0,3.59,Active
C00000,2024-04-15,2024-04-13,2.0,3.59,Active
C00000,2024-04-20,2024-04-15,5.0,3.59,Active
C00000,2024-04-24,2024-04-20,4.0,3.59,Active
C00000,2024-04-30,2024-04-24,6.0,3.59,Active
C00000,2024-05-04,2024-04-30,4.0,3.59,Active
C00000,2024-05-11,2024-05-04,7.0,3.59,Active
C00000,2024-05-14,2024-05-11,3.0,3.59,Active
C00000,2024-05-16,2024-05-14,2.0,3.59,Active
C00000,2024-05-19,2024-05-16,3.0,3.59,Active
C00000,2024-05-25,2024-05-19,6.0,3.59,Active
C00000,2024-06-02,2024-05-25,8.0,3.59,Active
C00000,2024-06-04,2024-06-02,2.0,3.59,Active
C00000,2024-06-05,2024-06-04,1.0,3.59,Active
C00000,2024-06-05,2024-06-05,0.0,3.59,Active
C00000,2024-06-07,2024-06-05,2.0,3.59,Active
C00000,2024-06-15,2024-06-07,8.0,3.59,Active
C00000,2024-06-21,2024-06-15,6.0,3.59,Active
C00000,2024-06-28,2024-06-21,7.0,3.59,Active
C00000,2024-06-29,2024-06-28,1.0,3.59,Active
C00000,2024-07-04,2024-06-29,5.0,3.59,Active
C00000,2024-07-05,2024-07-04,1.0,3.59,Active
C00000,2024-07-15,2024-07-05,10.0,3.59,Active
C00000,2024-07-28,2024-07-15,13.0,3.59,Active
C00000,2024-08-11,2024-07-28,14.0,3.59,Active
C00000,2024-08-12,2024-08-11,1.0,3.59,Active
C00000,2024-08-13,2024-08-12,1.0,3.59,Active
C00000,2024-08-16,2024-08-13,3.0,3.59,Active
C00000,2024-08-18,2024-08-16,2.0,3.59,Active
C00000,2024-08-20,2024-08-18,2.0,3.59,Active
C00000,2024-08-23,2024-08-20,3.0,3.59,Active
C00000,2024-08-25,2024-08-23,2.0,3.59,Active
C00000,2024-08-26,2024-08-25,1.0,3.59,Active
C00000,2024-09-04,2024-08-26,9.0,3.59,Active
C00000,2024-09-14,2024-09-04,10.0,3.59,Active
C00000,2024-09-17,2024-09-14,3.0,3.59,Active
C00000,2024-09-17,2024-09-17,0.0,3.59,Active
C00000,2024-09-17,2024-09-17,0.0,3.59,Active
C00000,2024-09-19,2024-09-17,2.0,3.59,Active
C00000,2024-09-26,2024-09-19,7.0,3.59,Active
C00000,2024-10-02,2024-09-26,6.0,3.59,Active
C00000,2024-10-02,2024-10-02,0.0,3.59,Active
C00000,2024-10-03,2024-10-02,1.0,3.59,Active
C00000,2024-10-04,2024-10-03,1.0,3.59,Active
C00000,2024-10-05,2024-10-04,1.0,3.59,Active
C00000,2024-10-06,2024-10-05,1.0,3.59,Active
