order_month,customer_category,total_customers
2024-01,High,98
2024-01,Medium,4
2024-01,Low,10
2024-02,High,88
2024-02,Medium,2
2024-02,Low,5
2024-03,High,92
2024-03,Medium,4
2024-03,Low,6
2024-04,High,89
2024-04,Medium,6
2024-04,Low,5
2024-05,High,84
2024-05,Medium,4
2024-05,Low,3
2024-06,High,78
2024-06,Medium,6
2024-06,Low,7
2024-07,High,82
2024-07,Medium,5
2024-07,Low,5
2024-08,High,93
2024-08,Medium,4
2024-08,Low,5
2024-09,High,87
2024-09,Medium,2
2024-09,Low,7
2024-10,High,232
2024-10,Medium,10
2024-10,Low,8
2024-11,High,223
2024-11,Medium,8
2024-11,Low,8
2024-12,High,227
2024-12,Medium,9
2024-12,Low,12
2025-01,High,95
2025-01,Medium,6
2025-01,Low,9
2025-02,High,78
2025-02,Medium,3
2025-02,Low,7
2025-03,High,80
2025-03,Medium,4
2025-03,Low,5
2025-04,High,75
2025-04,Medium,3
2025-04,Low,9
2025-05,High,87
2025-05,Medium,2
2025-05,Low,6
2025-06,High,79
2025-06,Medium,2
2025-06,Low,7
2025-07,High,88
2025-07,Medium,8
2025-07,Low,10
2025-08,High,103
2025-08,Medium,5
2025-08,Low,3
2025-09,High,85
2025-09,Medium,4
2025-09,Low,11
2025-10,High,214
2025-10,Medium,6
2025-10,Low,5
2025-11,High,217
2025-11,Medium,8
2025-11,Low,12
2025-12,High,230
2025-12,Medium,8
2025-12,Low,8
2026-01,High,92
2026-01,Medium,3
2026-01,Low,8
2026-02,High,101
2026-02,Medium,2
2026-02,Low,2
2026-03,High,84
2026-03,Medium,1
2026-03,Low,11
2026-04,High,103
2026-04,Medium,7
2026-04,Low,7
2026-05,High,96
2026-05,Medium,3
2026-05,Low,4
2026-06,High,90
2026-06,Medium,6
2026-06,Low,1
2026-07,High,81
2026-07,Medium,4
2026-07,Low,6
2026-09,High,14
2026-09,Low,2
2026-10,High,8
2026-10,Medium,1
2026-10,Low,1
2026-11,High,9
2026-11,Low,1
2026-12,High,11
2026-12,Low,1
2027-01,High,10
