customer_id,total_value,quartile,quartile_label
C00000,72173975.53,1,Platinum
C00424,24534080.12,1,Platinum
C00471,17271123.19,1,Platinum
C00443,16959160.94,1,Platinum
C00248,16615462.49,1,Platinum
C00469,16382691.15,1,Platinum
C00543,15705552.79,1,Platinum
C00290,15405129.46,1,Platinum
C00070,15116635.04,1,Platinum
C00268,15090409.12,1,Platinum
C00052,14840237.45,1,Platinum
C00420,14489872.02,1,Platinum
C00513,13842489.72,1,Platinum
C00310,12692941.39,1,Platinum
C00024,11458334.25,1,Platinum
C00327,11260009.25,1,Platinum
C00553,11254252.11,1,Platinum
C00048,11049907.42,1,Platinum
C00458,11033826.67,1,Platinum
C00311,10988634.09,1,Platinum
C00117,10185830.45,1,Platinum
C00077,10154185.45,1,Platinum
C00448,9993408.58,1,Platinum
C00178,9974610.95,1,Platinum
C00560,9615236.55,1,Platinum
C00576,9259571.23,1,Platinum
C00198,8693355.7,1,Platinum
C00390,8664360.42,1,Platinum
C00079,8627870.15,1,Platinum
C00106,8338790.97,1,Platinum
C00080,8312349.24,1,Platinum
C00238,8272950.37,1,Platinum
C00232,8248980.06,1,Platinum
C00206,8111589.24,1,Platinum
C00357,7725403.95,1,Platinum
C00009,7707784.56,1,Platinum
C00215,7695140.57,1,Platinum
C00488,7655867.6,1,Platinum
C00054,7584294.64,1,Platinum
C00134,7572322.11,1,Platinum
C00240,7485702.91,1,Platinum
C00103,7464234.11,1,Platinum
C00535,7220583.96,1,Platinum
C00111,7134094.5,1,Platinum
C00393,7062636.25,1,Platinum
C00414,7060462.59,1,Platinum
C00361,6971920.6,1,Platinum
C00014,6920549.23,1,Platinum
C00114,6798279.46,1,Platinum
C00264,6752755.11,1,Platinum
C00403,6733651.38,1,Platinum
C00018,6548232.49,1,Platinum
C00185,6502796.66,1,Platinum
C00567,6488823.97,1,Platinum
C00382,6457927.39,1,Platinum
C00395,6399293.96,1,Platinum
C00258,6375662.5,1,Platinum
C00519,6232021.47,1,Platinum
C00336,6128331.56,1,Platinum
C00244,6059520.1,1,Platinum
C00168,6032788.27,1,Platinum
C00110,6030520.63,1,Platinum
C00444,5984661.97,1,Platinum
C00437,5984341.85,1,Platinum
C00483,5969188.79,1,Platinum
C00441,5932776.54,1,Platinum
C00278,5908372.74,1,Platinum
C00035,5784862.57,1,Platinum
C00055,5779451.0,1,Platinum
C00227,5735089.52,1,Platinum
C00157,5709832.74,1,Platinum
C00216,5580119.69,1,Platinum
C00577,5565997.06,1,Platinum
C00265,5506704.62,1,Platinum
C00021,5437843.75,1,Platinum
C00430,5382131.13,1,Platinum
C00121,5375620.9,1,Platinum
C00457,5281666.93,1,Platinum
C00263,5229632.52,1,Platinum
C00063,5172966.82,1,Platinum
C00203,5119113.02,1,Platinum
C00283,5090075.19,1,Platinum
C00096,4978440.04,1,Platinum
C00362,4840724.75,1,Platinum
C00082,4807154.14,1,Platinum
C00481,4759335.48,1,Platinum
C00200,4724872.76,1,Platinum
C00305,4713258.49,1,Platinum
C00228,4701271.42,1,Platinum
C00094,4639541.08,1,Platinum
C00217,4563707.05,1,Platinum
C00536,4561637.41,1,Platinum
C00562,4554059.55,1,Platinum
C00568,4461265.96,1,Platinum
C00583,4457333.88,1,Platinum
C00364,4434573.02,1,Platinum
C00463,4415716.12,1,Platinum
C00392,4390361.96,1,Platinum
C00387,4376259.25,1,Platinum
C00561,4317609.85,1,Platinum
C00464,4303596.52,1,Platinum
C00131,4270964.3,1,Platinum
C00396,4260938.6,1,Platinum
C00271,4247640.59,1,Platinum
C00451,4181708.23,1,Platinum
C00186,4167892.14,1,Platinum
C00027,4157168.15,1,Platinum
C00502,4145126.15,1,Platinum
C00412,4114323.05,1,Platinum
C00328,4101835.12,1,Platinum
C00078,4037002.59,1,Platinum
C00253,4035362.22,1,Platinum
C00317,3955411.36,1,Platinum
C00034,3914588.75,1,Platinum
C00181,3905617.43,1,Platinum
C00074,3892269.69,1,Platinum
C00491,3876973.73,1,Platinum
C00158,3865261.59,1,Platinum
C00351,3840581.95,1,Platinum
C00498,3788105.12,1,Platinum
C00177,3708218.18,1,Platinum
C00413,3638866.61,1,Platinum
