year,month,revenue,prev_year_revenue,yoy_growth_percent
2024,01,35646275.86,,
2024,02,34335035.69,,
2024,03,31363123.78,,
2024,04,33104761.88,,
2024,05,29581587.89,,
2024,06,33012172.45,,
2024,07,29361348.77,,
2024,08,31139946.91,,
2024,09,32687938.54,,
2024,10,117697083.47,,
2024,11,116474399.65,,
2024,12,108814766.74,,
2025,01,30653778.45,35646275.86,-14.01
2025,02,25381590.7,34335035.69,-26.08
2025,03,31285453.32,31363123.78,-0.25
2025,04,33947537.07,33104761.88,2.55
2025,05,30028659.13,29581587.89,1.51
2025,06,23290070.78,33012172.45,-29.45
2025,07,31797888.63,29361348.77,8.3
2025,08,35934708.65,31139946.91,15.4
2025,09,30127038.61,32687938.54,-7.83
2025,10,119396499.34,117697083.47,1.44
2025,11,104527789.72,116474399.65,-10.26
2025,12,108521764.27,108814766.74,-0.27
2026,01,31381114.95,30653778.45,2.37
2026,02,41056160.66,25381590.7,61.76
2026,03,24662899.34,31285453.32,-21.17
2026,04,36643040.66,33947537.07,7.94
2026,05,34544616.49,30028659.13,15.04
2026,06,29775126.82,23290070.78,27.84
2026,07,31939938.59,31797888.63,0.45
2026,09,3984460.83,30127038.61,-86.77
2026,10,2946827.56,119396499.34,-97.53
2026,11,4414412.47,104527789.72,-95.78
2026,12,2563601.13,108521764.27,-97.64
2027,01,2923222.14,31381114.95,-90.68
