customer_id,first_category,last_category,category_shift
C00000,Grocery,Clothing,Yes
C00001,Home,Clothing,Yes
C00002,Books,Electronics,Yes
C00003,Clothing,Clothing,No
C00004,Books,Electronics,Yes
C00005,Home,Home,No
C00006,Electronics,Home,Yes
C00007,Clothing,Grocery,Yes
C00008,Electronics,Clothing,Yes
C00009,Clothing,Electronics,Yes
C00010,Electronics,Home,Yes
C00011,Clothing,Books,Yes
C00012,Electronics,Electronics,No
C00013,Books,Clothing,Yes
C00014,Clothing,Electronics,Yes
C00015,Home,Clothing,Yes
C00016,Electronics,Clothing,Yes
C00017,Electronics,Grocery,Yes
C00018,Clothing,Home,Yes
C00019,Books,Electronics,Yes
C00021,Clothing,Electronics,Yes
C00022,Beauty,Books,Yes
C00023,Grocery,Grocery,No
C00024,Electronics,Clothing,Yes
C00025,Clothing,Electronics,Yes
C00026,Grocery,Home,Yes
C00027,Electronics,Electronics,No
C00028,Books,Clothing,Yes
C00029,Beauty,Grocery,Yes
C00030,Electronics,Electronics,No
C00031,Sports,Home,Yes
C00032,Electronics,Beauty,Yes
C00033,Electronics,Books,Yes
C00034,Electronics,Clothing,Yes
C00035,Clothing,Electronics,Yes
C00036,Beauty,Grocery,Yes
C00037,Electronics,Clothing,Yes
C00038,Home,Home,No
C00039,Electronics,Electronics,No
C00040,Clothing,Home,Yes
C00041,Grocery,Home,Yes
C00042,Electronics,Clothing,Yes
C00043,Electronics,Home,Yes
C00044,Electronics,Home,Yes
C00045,Home,Electronics,Yes
C00046,Sports,Clothing,Yes
C00047,Electronics,Electronics,No
C00048,Books,Home,Yes
C00049,Grocery,Grocery,No
C00050,Books,Grocery,Yes
C00051,Electronics,Grocery,Yes
C00052,Sports,Home,Yes
C00053,Electronics,Beauty,Yes
C00054,Electronics,Home,Yes
C00055,Clothing,Home,Yes
C00056,Electronics,Books,Yes
C00057,Beauty,Home,Yes
C00058,Beauty,Electronics,Yes
C00059,Home,Home,No
C00060,Electronics,Books,Yes
C00061,Sports,Clothing,Yes
C00062,Electronics,Books,Yes
C00063,Clothing,Clothing,No
C00064,Electronics,Electronics,No
C00065,Electronics,Beauty,Yes
C00066,Electronics,Grocery,Yes
C00067,Books,Electronics,Yes
C00068,Grocery,Electronics,Yes
C00069,Home,Electronics,Yes
C00070,Beauty,Home,Yes
C00071,Home,Home,No
C00072,Clothing,Electronics,Yes
C00073,Electronics,Electronics,No
C00074,Electronics,Sports,Yes
C00075,Clothing,Clothing,No
C00076,Clothing,Clothing,No
C00077,Home,Electronics,Yes
C00078,Electronics,Grocery,Yes
C00079,Clothing,Electronics,Yes
C00080,Electronics,Clothing,Yes
C00081,Books,Home,Yes
C00082,Clothing,Grocery,Yes
C00083,Home,Electronics,Yes
C00084,Electronics,Clothing,Yes
C00085,Clothing,Sports,Yes
C00086,Home,Home,No
C00087,Home,Electronics,Yes
C00088,Sports,Home,Yes
C00089,Electronics,Electronics,No
C00090,Home,Electronics,Yes
C00091,Beauty,Clothing,Yes
C00092,Home,Books,Yes
C00093,Home,Electronics,Yes
C00094,Sports,Clothing,Yes
C00095,Electronics,Clothing,Yes
C00096,Beauty,Electronics,Yes
C00097,Books,Books,No
C00098,Electronics,Grocery,Yes
C00099,Beauty,Electronics,Yes
C00100,Home,Home,No
C00101,Clothing,Clothing,No
C00102,Beauty,Sports,Yes
C00103,Clothing,Home,Yes
C00104,Clothing,Electronics,Yes
C00105,Books,Clothing,Yes
C00106,Home,Electronics,Yes
C00107,Electronics,Electronics,No
C00108,Clothing,Home,Yes
C00109,Clothing,Home,Yes
C00110,Books,Clothing,Yes
C00111,Clothing,Electronics,Yes
C00112,Clothing,Beauty,Yes
C00113,Clothing,Home,Yes
C00114,Home,Grocery,Yes
C00115,Beauty,Electronics,Yes
C00116,Home,Home,No
C00117,Clothing,Electronics,Yes
C00118,Home,Electronics,Yes
C00119,Clothing,Sports,Yes
C00120,Clothing,Electronics,Yes
C00121,Beauty,Clothing,Yes
C00122,Electronics,Grocery,Yes
C00123,Electronics,Electronics,No
C00124,Home,Clothing,Yes
C00125,Clothing,Grocery,Yes
C00126,Electronics,Sports,Yes
C00127,Sports,Grocery,Yes
C00128,Electronics,Electronics,No
C00129,Clothing,Clothing,No
C00130,Clothing,Home,Yes
C00131,Electronics,Books,Yes
C00132,Beauty,Beauty,No
C00133,Electronics,Sports,Yes
C00134,Electronics,Home,Yes
C00135,Home,Beauty,Yes
C00136,Clothing,Electronics,Yes
C00137,Clothing,Grocery,Yes
C00138,Grocery,Electronics,Yes
C00139,Grocery,Clothing,Yes
C00140,Grocery,Books,Yes
C00141,Home,Home,No
C00142,Clothing,Electronics,Yes
C00143,Clothing,Clothing,No
C00144,Clothing,Clothing,No
C00145,Grocery,Home,Yes
C00146,Electronics,Beauty,Yes
C00147,Electronics,Home,Yes
C00148,Books,Electronics,Yes
C00149,Electronics,Sports,Yes
C00150,Electronics,Home,Yes
C00151,Home,Clothing,Yes
C00152,Clothing,Electronics,Yes
C00153,Sports,Clothing,Yes
C00154,Home,Grocery,Yes
C00155,Electronics,Clothing,Yes
C00156,Electronics,Home,Yes
C00157,Beauty,Beauty,No
C00158,Clothing,Electronics,Yes
C00159,Electronics,Electronics,No
C00160,Home,Books,Yes
C00161,Books,Books,No
C00162,Books,Books,No
C00163,Sports,Books,Yes
C00164,Electronics,Electronics,No
C00165,Home,Home,No
C00166,Clothing,Electronics,Yes
C00167,Sports,Electronics,Yes
C00168,Electronics,Clothing,Yes
C00169,Home,Electronics,Yes
C00170,Grocery,Grocery,No
C00171,Electronics,Books,Yes
C00172,Electronics,Home,Yes
C00173,Electronics,Electronics,No
C00174,Clothing,Home,Yes
C00175,Electronics,Clothing,Yes
C00176,Books,Books,No
C00177,Sports,Electronics,Yes
C00178,Electronics,Home,Yes
C00179,Clothing,Clothing,No
C00180,Books,Clothing,Yes
C00181,Clothing,Clothing,No
C00182,Home,Home,No
C00183,Books,Electronics,Yes
C00184,Grocery,Home,Yes
C00185,Home,Clothing,Yes
C00186,Home,Home,No
C00187,Electronics,Home,Yes
C00188,Clothing,Beauty,Yes
C00189,Grocery,Home,Yes
C00190,Grocery,Electronics,Yes
C00191,Electronics,Electronics,No
C00192,Home,Home,No
C00193,Clothing,Clothing,No
C00194,Clothing,Electronics,Yes
C00195,Sports,Books,Yes
C00196,Grocery,Electronics,Yes
C00197,Electronics,Electronics,No
C00198,Books,Clothing,Yes
C00199,Electronics,Home,Yes
C00200,Sports,Grocery,Yes
C00201,Grocery,Electronics,Yes
C00202,Clothing,Electronics,Yes
C00203,Clothing,Clothing,No
C00204,Clothing,Home,Yes
C00205,Electronics,Clothing,Yes
C00206,Beauty,Electronics,Yes
C00207,Electronics,Electronics,No
C00208,Home,Electronics,Yes
C00209,Home,Grocery,Yes
C00210,Clothing,Clothing,No
C00211,Electronics,Grocery,Yes
C00212,Grocery,Clothing,Yes
C00213,Clothing,Clothing,No
C00214,Books,Clothing,Yes
C00215,Clothing,Electronics,Yes
C00216,Clothing,Clothing,No
C00217,Electronics,Electronics,No
C00218,Clothing,Electronics,Yes
C00219,Electronics,Electronics,No
C00220,Grocery,Sports,Yes
C00221,Clothing,Electronics,Yes
C00222,Clothing,Electronics,Yes
C00223,Grocery,Clothing,Yes
C00224,Grocery,Electronics,Yes
C00225,Clothing,Electronics,Yes
C00226,Electronics,Clothing,Yes
C00227,Electronics,Home,Yes
C00228,Clothing,Home,Yes
C00229,Electronics,Beauty,Yes
C00230,Sports,Electronics,Yes
C00231,Books,Books,No
C00232,Clothing,Home,Yes
C00233,Clothing,Beauty,Yes
C00234,Home,Home,No
C00235,Grocery,Sports,Yes
C00236,Home,Sports,Yes
C00237,Grocery,Electronics,Yes
C00238,Grocery,Grocery,No
C00239,Electronics,Electronics,No
C00240,Electronics,Electronics,No
C00241,Home,Electronics,Yes
C00242,Electronics,Electronics,No
C00243,Clothing,Electronics,Yes
C00244,Clothing,Clothing,No
C00245,Electronics,Sports,Yes
C00246,Beauty,Books,Yes
C00247,Home,Home,No
C00248,Clothing,Electronics,Yes
C00249,Electronics,Home,Yes
C00250,Books,Books,No
C00251,Electronics,Electronics,No
C00252,Beauty,Electronics,Yes
C00253,Clothing,Home,Yes
C00254,Home,Grocery,Yes
C00255,Clothing,Clothing,No
C00256,Home,Home,No
C00257,Clothing,Home,Yes
