customer_id,revenue,cumulative_revenue,cumulative_percent,customer_percent
C00000,72173975.53,72173975.53,4.86,0.17
C00424,24534080.12,96708055.65,6.51,0.33
C00471,17271123.19,113979178.84,7.68,0.5
C00443,16959160.94,130938339.78,8.82,0.67
C00248,16615462.49,147553802.27,9.94,0.83
C00469,16382691.15,163936493.42000002,11.04,1.0
C00543,15705552.79,179642046.21,12.1,1.17
C00290,15405129.46,195047175.67000002,13.13,1.33
C00070,15116635.04,210163810.71,14.15,1.5
C00268,15090409.12,225254219.83,15.17,1.67
C00052,14840237.45,240094457.28,16.17,1.83
C00420,14489872.02,254584329.3,17.14,2.0
C00513,13842489.72,268426819.02,18.08,2.17
C00310,12692941.39,281119760.41,18.93,2.33
C00024,11458334.25,292578094.66,19.7,2.5
C00327,11260009.25,303838103.91,20.46,2.67
C00553,11254252.11,315092356.02,21.22,2.83
C00048,11049907.42,326142263.44,21.96,3.0
C00458,11033826.67,337176090.11,22.71,3.17
C00311,10988634.09,348164724.2,23.45,3.33
C00117,10185830.45,358350554.65,24.13,3.5
C00077,10154185.45,368504740.1,24.82,3.67
C00448,9993408.58,378498148.68,25.49,3.83
C00178,9974610.95,388472759.63,26.16,4.0
C00560,9615236.55,398087996.18,26.81,4.17
C00576,9259571.23,407347567.41,27.43,4.33
C00198,8693355.7,416040923.11,28.02,4.5
C00390,8664360.42,424705283.53,28.6,4.67
C00079,8627870.15,433333153.68,29.18,4.83
C00106,8338790.97,441671944.65,29.74,5.0
C00080,8312349.24,449984293.89,30.3,5.17
C00238,8272950.37,458257244.26,30.86,5.33
C00232,8248980.06,466506224.32,31.42,5.5
C00206,8111589.24,474617813.56,31.96,5.67
C00357,7725403.95,482343217.51,32.48,5.83
C00009,7707784.56,490051002.07,33.0,6.0
C00215,7695140.57,497746142.64,33.52,6.17
C00488,7655867.6,505402010.24,34.04,6.33
C00054,7584294.64,512986304.88,34.55,6.5
C00134,7572322.11,520558626.99,35.06,6.67
C00240,7485702.91,528044329.9,35.56,6.83
C00103,7464234.11,535508564.01,36.06,7.0
C00535,7220583.96,542729147.97,36.55,7.17
C00111,7134094.5,549863242.47,37.03,7.33
C00393,7062636.25,556925878.72,37.5,7.5
